f1_2008,f2_2020,f1_2022,f4_terminal,f5_worst_annual,crash,boom,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,parent_id
0.0,42097.93289999984,130957.78369999945,964307.3282,-0.0185761690386977,0.1147354534969229,0.1879300591896036,0.5475262374295524,0.482238370630939,0.4794205807113998,0.1157521019963658,0.4867592797198644,-1.6269798146144665,-0.8090628018710706,0.5494384733663097,-0.4061427820416766,0.0894025652706415,0.7049646894378306,0.3688467139589525,1.0205794805190698,3.788061884684273,-1.4233649964021613,-0.0074747786989701,0.0209022436098485,4636711049
0.0,0.0,206329.78280000004,994895.0594000004,-0.0226864212045488,0.1112619421510285,0.1953313928295776,0.5246049729800447,0.4820074952362634,0.4305135680530215,0.1123238369848773,0.4712007041772663,-1.653710367003479,-0.81789736705738,0.5541784970323489,0.026471436160176,-0.0336579334193153,0.2167508983296436,0.1532072566904057,1.036984806135402,3.7601569185517376,-1.550636273411426,-0.0119996850920218,0.0174058987566969,5002908266
0.0,0.0,97190.13060000072,1063980.5993999997,-0.0185758559303143,0.1120941651269917,0.2114929545984165,0.5284946011076608,0.4687382162390966,0.4535490858028125,0.1135120311034278,0.4744873201104289,-1.6289503191043744,-0.7944326227677457,0.5403386584357471,0.0725977631264163,0.0809952465351466,0.3365425468270957,0.1707656262833297,1.0104010920370032,3.7904938903360974,-1.5584617349183518,-0.0121640850739746,0.0312489529621044,2180889371
0.0,0.0,95769.37840000016,1063313.1351999992,-0.0171946769926917,0.110306494158503,0.211390920986771,0.5169421291069842,0.4941085556774656,0.4744816754954698,0.1156786157713533,0.4764736017650198,-1.6364236913568289,-0.8241736902546578,0.5483631023882795,0.0277129793836965,0.0764906027321007,0.3341036866825564,0.1644008918862362,1.0110335853966244,3.7421613308692936,-1.5051108113954637,-0.0119713721007256,0.0217740480167843,9746444936
0.0,0.0,84820.6969999997,987060.8916,-0.0189856130867933,0.1112428803340017,0.1935054523538919,0.5305553388909483,0.4616923398046526,0.4451197068990706,0.1145773167528293,0.4730081117888862,-1.615131898851783,-0.8239591661199599,0.5459774152551745,0.0713823361399055,0.0822255198006932,0.3369068670436871,0.1710967763926713,1.0408888195492028,3.8490313541919168,-1.5281280294062598,-0.0121993970772507,0.0297733591768024,4063721054
0.0,0.0,69771.53580000135,1078194.988199999,-0.0182432945772652,0.1192840929516465,0.2147110480389151,0.5596835640155963,0.4776890209990715,0.4841547222404601,0.1184032859946278,0.4791532760998024,-1.6076639234415075,-0.8158335628012091,0.5611801669640771,0.0281055527403714,-0.0273674487632467,0.6167329492894403,0.3689260339020545,1.027178083334384,3.807030410565656,-1.4328017431092697,-0.0073945527550044,0.0211676393020167,4046922509
0.0,0.0,133883.46609999926,1006347.3036000008,-0.0190947934309834,0.1089251822321284,0.1981432636647442,0.5372057855277689,0.4746384221543958,0.4490755626273802,0.1168101723403805,0.4626607493909894,-1.6371832503826511,-0.8115210362714423,0.5473816959194414,0.0728086818317786,0.1848062351470033,0.2299313010394511,0.6553913673494585,1.023280009727093,3.76309556622489,-1.5298550795141108,-0.0119578022698277,0.0294538227810261,4791476502
0.0,0.0,145896.25879999856,993762.9529000012,-0.0186596953155224,0.1121986875779514,0.1950963158132552,0.5320303056693682,0.4675106056918545,0.4254452018937017,0.1137530268015257,0.4844468238992852,-1.6081933212593795,-0.79993484073102,0.5581154360505551,0.0259653228236609,-0.0343036369974765,0.2214347957663711,0.1551416429202515,1.036250095061657,3.850535035526377,-1.5358041683818118,-0.0120112556050749,0.0172612628835292,5002908266
0.0,0.0,114899.32630000066,1044305.8036,-0.0188712313074696,0.1067109851812029,0.2069813990661924,0.5397195871740559,0.4817299830168067,0.4779051996539559,0.116472156390014,0.4797694260720851,-1.6330893331684704,-0.8204152961357194,0.5458292952936806,0.0280689386583734,0.0778116882816206,0.3300963963571421,0.1635911404290656,1.0317698677117866,3.873354272648819,-1.5314070166834,-0.0119343976988539,0.0214576964271611,9746444936
0.0,0.0,198694.42820000064,1095294.7047,-0.0224517198868075,0.1073175805693023,0.2185502495870779,0.5408779436850559,0.4756226370377309,0.477729144536393,0.1143822012263862,0.4757836004127109,-1.6350289351931837,-0.8058636364853631,0.5625196266524924,0.0279845574177835,0.076865800836705,0.3268031826074384,0.1690152042947706,1.0286888956788196,3.7640521915731058,-1.5407518595544725,-0.0120805152387042,0.0217531597250941,5616788657
0.0,0.0,179629.13420000055,1090338.6728000003,-0.022115267075901,0.1030643049811204,0.2174461043113558,0.5164833499018197,0.4751708858268766,0.4534399584516232,0.1185703849615378,0.477127286095739,-1.5909376077841917,-0.8097977615548906,0.5630422542399566,0.0719916883439981,0.1850874046607463,0.2329859799276768,0.6580757861891372,1.0310367519129484,3.823482727423096,-1.5376883116137667,-0.0122946276187165,0.0222258987302553,1069948469
0.0,0.0,130039.53900000022,1043883.4143,-0.0162731089825299,0.1099515063589395,0.2069211018917522,0.5341998068398456,0.4703874654373684,0.4478321153241409,0.1175986248078423,0.4798958317074703,-1.6167082617639297,-0.8088558468553131,0.5395921557615545,0.0734887046570178,0.1855617067769841,0.2322993514128477,0.6580073592330156,1.029320975163019,3.85163452388543,-1.5023433097945242,-0.0119215079991881,0.0119222881050863,1254785854
0.0,0.0,113055.56529999968,1065240.176700001,-0.0187882707702561,0.1054744607833302,0.2118044717562286,0.5312209209909982,0.4725055290751,0.4669832359858121,0.126816578331699,0.4672242612355738,-1.613537186182695,-0.8149121939928683,0.559464002940437,0.026182136791204,-0.030511471498003,0.2158252942906652,0.1572577626477669,1.0145443947036106,3.739353585795079,-1.5282217908034643,-0.0119807082035367,0.0163030031155525,1123944000
0.0,0.0,109790.83320000046,1019482.5071000012,-0.0182851780062547,0.1088158383733473,0.2011788177645144,0.5270753494964788,0.4784193947331037,0.4270500126354641,0.11523226037543,0.4660158808121656,-1.5973931125859366,-0.8144772904159806,0.5488849980438044,0.0260986725348808,-0.0341196105215414,0.2170548581645993,0.1555781484955786,1.0309208368983995,3.854877195143846,-1.5445358229986026,-0.0119968719240132,0.0173869610712307,5002908266
0.0,0.0,94506.68469999904,991776.7760000002,-0.018424966378735,0.117796943958734,0.1945815608396388,0.5410875859637657,0.4838054875409933,0.4442627707936113,0.1153879063020579,0.4717792688036638,-1.607490179708865,-0.809317361188345,0.5592772810181446,0.0730731576793628,0.190007246855127,0.2323044023956552,0.6614469157688656,1.005996672394832,3.842277454118054,-1.511440809577714,-0.0119190161841446,0.0224426159813528,1069948469
0.0,0.0,139598.338099999,1011086.3813000004,-0.0203336709696997,0.108326443725395,0.1992813411539968,0.519437257444529,0.4832777520928257,0.4645585645026114,0.1135698799313863,0.4614519363330186,-1.6268976054513364,-0.8090035156083198,0.5559644142009514,0.0278577875123589,0.0791919545584637,0.3338946637691959,0.1681770791723662,1.0467602099892137,3.840596825664797,-1.520174894908487,-0.0121054483825255,0.0217920123912288,9746444936
0.0,0.0,108736.7215999997,1022654.3554000002,-0.0183570072872902,0.111159415171923,0.2019496740584832,0.5197990284862437,0.4837032835617098,0.4474329855058029,0.1166132937020375,0.4676061395865941,-1.6497874122588616,-0.8218856700483154,0.5489606251449585,0.0723006613224399,0.0823574195501012,0.3403466598782464,0.1687432102170544,1.0284801095285974,3.8052405435060312,-1.564138902111409,-0.0122262570358237,0.0316068818975284,2180889371
0.0,0.0,90152.40789999928,1024096.5188000002,-0.0214265552333367,0.1115679615297842,0.2022759132084068,0.5363096841615609,0.4664844549450258,0.4449074133842429,0.1163347399034082,0.4771884641457846,-1.633660741801056,-0.8074162297858761,0.5654782842455119,0.0732872815205617,0.1861493094927009,0.2335443061064345,0.6558007435763963,1.0178604197564378,3.795638702012624,-1.5500809331261785,-0.0122176498487267,0.0221011111575148,1069948469
0.0,0.0,107967.88700000184,1047501.0250999996,-0.018211488766914,0.1225046893590124,0.2077062421855642,0.5190207164132511,0.4774147995161959,0.4730444379168809,0.1160139585915155,0.4741583824856696,-1.606596085202845,-0.8169326383320746,0.5412561221336247,0.028460125313137,0.0774577204816212,0.3315143556851359,0.1689874348336641,1.0206267346079163,3.7988316357709913,-1.514026533853829,-0.012054001010389,0.026321932715797,5199151319
