sim_id,f1_2008,f2_2020,f3_2022,f4_terminal,f5_annual_worst,dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
8814694317,449895.56482458115,46963.32099723816,0.0,1420840.7981219292,-0.02151814315325573,0.60567486,0.85410764,0.77704855,0.592905493,0.073562662,0.008141616,0.076750936,0.187686663
5934389102,449197.5187244415,48015.409417152405,0.0,1403196.9531989098,-0.02158174402889057,0.606297886,0.852805174,0.777497472,0.592415978,0.04691660500000002,0.015741180000000004,0.065987092,0.214446868
1524829057,455869.402384758,47014.144536972046,0.0,1428805.9038214684,-0.02148828609890452,0.606006242,0.853896195,0.7770485,0.592905241,0.074018533,0.008207508999999998,0.076919902,0.186520553
5231003903,459700.4275956154,46963.32099723816,0.0,1411875.746849537,-0.021545147978530688,0.605682888,0.854112077,0.777059552,0.592906296,0.072118155,0.00780622,0.077837502,0.186487967
614509033,356971.12320661545,47033.1067943573,0.0,1429632.9588737488,-0.021277351484119245,0.668950108,0.819936865,0.811636902,0.589037343,0.057090741000000014,0.010417131000000005,0.05235301200000003,0.04123214600000011
416455344,485061.68703985214,46993.144536972046,0.0,1420569.03926754,-0.021480995473324382,0.606116161,0.853956959,0.777198616,0.592916331,0.074814495,0.00804438,0.077108466,0.185915168
5283132696,309357.17703819275,47860.28908729553,0.0,1457976.2657666206,-0.02152437252717665,0.615452287,0.85878938,0.815116074,0.602019426,0.06469890200000002,0.0017620109999999974,0.080263791,0.25073144799999997
232557572,460331.5952062607,47723.529938697815,0.0,1437617.0692062378,-0.02159460103015276,0.606026093,0.853884315,0.777600478,0.592816487,0.03851641000000002,0.016374981000000004,0.066315467,0.218265828
8169569996,292267.75637483597,46963.32099723816,0.0,1458280.7433915138,-0.02153762468971343,0.663582837,0.824024383,0.808655997,0.590160025,0.02216024900000005,0.013725151000000008,0.04026093500000001,0.09232111300000011
2426451365,491178.2424464226,47723.529938697815,0.0,1423016.9241204262,-0.02159788601666568,0.606006428,0.85389632,0.777048238,0.59290535,0.04246740400000003,0.015489093000000004,0.067588594,0.213523494
4393217459,491096.7458925247,47716.394267082214,0.0,1431073.897544384,-0.021569540296077272,0.604810562,0.853239969,0.775300429,0.592805544,0.038124646000000026,0.015058096000000003,0.067205019,0.220299494
